product_id,store_id,type,message,severity,metric,threshold
1005,19,STOCKOUT_RISK,Stock level 36 below reorder point 99. Estimated days remaining: 999,HIGH,36,99
1012,15,STOCKOUT_RISK,Stock level 29 below reorder point 99. Estimated days remaining: 999,HIGH,29,99
1040,28,STOCKOUT_RISK,Stock level 15 below reorder point 28. Estimated days remaining: 999,HIGH,15,28
1047,10,STOCKOUT_RISK,Stock level 36 below reorder point 176. Estimated days remaining: 999,HIGH,36,176
1049,89,STOCKOUT_RISK,Stock level 168 below reorder point 182. Estimated days remaining: 999,HIGH,168,182
1075,19,STOCKOUT_RISK,Stock level 79 below reorder point 142. Estimated days remaining: 999,HIGH,79,142
1079,22,STOCKOUT_RISK,Stock level 113 below reorder point 197. Estimated days remaining: 999,HIGH,113,197
1095,6,STOCKOUT_RISK,Stock level 1 below reorder point 53. Estimated days remaining: 999,HIGH,1,53
1099,24,STOCKOUT_RISK,Stock level 97 below reorder point 105. Estimated days remaining: 999,HIGH,97,105
1110,66,STOCKOUT_RISK,Stock level 91 below reorder point 159. Estimated days remaining: 999,HIGH,91,159
1111,93,STOCKOUT_RISK,Stock level 38 below reorder point 150. Estimated days remaining: 999,HIGH,38,150
1117,77,STOCKOUT_RISK,Stock level 78 below reorder point 155. Estimated days remaining: 999,HIGH,78,155
1119,57,STOCKOUT_RISK,Stock level 75 below reorder point 88. Estimated days remaining: 999,HIGH,75,88
1126,68,STOCKOUT_RISK,Stock level 46 below reorder point 125. Estimated days remaining: 999,HIGH,46,125
1132,76,STOCKOUT_RISK,Stock level 3 below reorder point 14. Estimated days remaining: 999,HIGH,3,14
1133,82,STOCKOUT_RISK,Stock level 1 below reorder point 102. Estimated days remaining: 999,HIGH,1,102
1147,82,STOCKOUT_RISK,Stock level 63 below reorder point 80. Estimated days remaining: 999,HIGH,63,80
1148,62,STOCKOUT_RISK,Stock level 2 below reorder point 181. Estimated days remaining: 999,HIGH,2,181
1148,76,STOCKOUT_RISK,Stock level 63 below reorder point 100. Estimated days remaining: 999,HIGH,63,100
1152,75,STOCKOUT_RISK,Stock level 60 below reorder point 178. Estimated days remaining: 999,HIGH,60,178
1165,72,STOCKOUT_RISK,Stock level 68 below reorder point 181. Estimated days remaining: 999,HIGH,68,181
1168,96,STOCKOUT_RISK,Stock level 6 below reorder point 58. Estimated days remaining: 999,HIGH,6,58
1169,75,STOCKOUT_RISK,Stock level 28 below reorder point 103. Estimated days remaining: 999,HIGH,28,103
1172,67,STOCKOUT_RISK,Stock level 107 below reorder point 130. Estimated days remaining: 999,HIGH,107,130
1186,11,STOCKOUT_RISK,Stock level 65 below reorder point 84. Estimated days remaining: 999,HIGH,65,84
1203,68,STOCKOUT_RISK,Stock level 4 below reorder point 17. Estimated days remaining: 999,HIGH,4,17
1207,70,STOCKOUT_RISK,Stock level 38 below reorder point 134. Estimated days remaining: 999,HIGH,38,134
1209,87,STOCKOUT_RISK,Stock level 134 below reorder point 197. Estimated days remaining: 999,HIGH,134,197
1210,32,STOCKOUT_RISK,Stock level 158 below reorder point 185. Estimated days remaining: 999,HIGH,158,185
1233,72,STOCKOUT_RISK,Stock level 111 below reorder point 112. Estimated days remaining: 999,HIGH,111,112
1239,27,STOCKOUT_RISK,Stock level 147 below reorder point 150. Estimated days remaining: 999,HIGH,147,150
1240,88,STOCKOUT_RISK,Stock level 127 below reorder point 154. Estimated days remaining: 999,HIGH,127,154
1241,63,STOCKOUT_RISK,Stock level 172 below reorder point 180. Estimated days remaining: 999,HIGH,172,180
1246,99,STOCKOUT_RISK,Stock level 20 below reorder point 149. Estimated days remaining: 999,HIGH,20,149
1250,91,STOCKOUT_RISK,Stock level 64 below reorder point 110. Estimated days remaining: 999,HIGH,64,110
1255,68,STOCKOUT_RISK,Stock level 77 below reorder point 199. Estimated days remaining: 999,HIGH,77,199
1258,51,STOCKOUT_RISK,Stock level 4 below reorder point 99. Estimated days remaining: 999,HIGH,4,99
1267,80,STOCKOUT_RISK,Stock level 28 below reorder point 155. Estimated days remaining: 999,HIGH,28,155
1281,31,STOCKOUT_RISK,Stock level 129 below reorder point 139. Estimated days remaining: 999,HIGH,129,139
1284,64,STOCKOUT_RISK,Stock level 55 below reorder point 160. Estimated days remaining: 999,HIGH,55,160
1285,12,STOCKOUT_RISK,Stock level 60 below reorder point 65. Estimated days remaining: 999,HIGH,60,65
1286,62,STOCKOUT_RISK,Stock level 17 below reorder point 133. Estimated days remaining: 999,HIGH,17,133
1301,63,STOCKOUT_RISK,Stock level 70 below reorder point 123. Estimated days remaining: 999,HIGH,70,123
1331,48,STOCKOUT_RISK,Stock level 16 below reorder point 30. Estimated days remaining: 999,HIGH,16,30
1333,80,STOCKOUT_RISK,Stock level 84 below reorder point 183. Estimated days remaining: 999,HIGH,84,183
1336,45,STOCKOUT_RISK,Stock level 31 below reorder point 61. Estimated days remaining: 999,HIGH,31,61
1337,18,STOCKOUT_RISK,Stock level 44 below reorder point 105. Estimated days remaining: 999,HIGH,44,105
1341,21,STOCKOUT_RISK,Stock level 13 below reorder point 79. Estimated days remaining: 999,HIGH,13,79
1341,42,STOCKOUT_RISK,Stock level 40 below reorder point 196. Estimated days remaining: 999,HIGH,40,196
1347,19,STOCKOUT_RISK,Stock level 62 below reorder point 101. Estimated days remaining: 999,HIGH,62,101
1348,11,STOCKOUT_RISK,Stock level 52 below reorder point 186. Estimated days remaining: 999,HIGH,52,186
1355,32,STOCKOUT_RISK,Stock level 34 below reorder point 102. Estimated days remaining: 999,HIGH,34,102
1369,7,STOCKOUT_RISK,Stock level 92 below reorder point 107. Estimated days remaining: 999,HIGH,92,107
1371,73,STOCKOUT_RISK,Stock level 70 below reorder point 131. Estimated days remaining: 999,HIGH,70,131
1376,24,STOCKOUT_RISK,Stock level 194 below reorder point 197. Estimated days remaining: 999,HIGH,194,197
1380,15,STOCKOUT_RISK,Stock level 100 below reorder point 187. Estimated days remaining: 999,HIGH,100,187
1380,79,STOCKOUT_RISK,Stock level 77 below reorder point 138. Estimated days remaining: 999,HIGH,77,138
1385,33,STOCKOUT_RISK,Stock level 124 below reorder point 149. Estimated days remaining: 999,HIGH,124,149
1390,75,STOCKOUT_RISK,Stock level 17 below reorder point 132. Estimated days remaining: 999,HIGH,17,132
1393,54,STOCKOUT_RISK,Stock level 63 below reorder point 188. Estimated days remaining: 999,HIGH,63,188
