ds,yhat,yhat_lower,yhat_upper
2024-01-01,251.38264268841138,77.80821710456814,427.0547669197997
2024-01-02,251.9869583348779,64.08252176473093,451.05090823729705
2024-01-03,248.02819558381367,50.42421455571346,412.70413374879706
2024-01-04,251.96325046697098,72.74022304695518,446.04183971911016
2024-01-05,254.89521388586942,54.750779681668185,442.9999902420337
2024-01-06,253.5952064679652,65.61093000490736,421.6315467991801
2024-01-07,249.33552760094554,64.69393172203985,431.01290868540644
2024-01-08,251.24489469801728,66.71125077846321,448.48962524896393
2024-01-09,251.84921034449243,70.15141458870994,427.2119262060475
2024-01-10,247.89044759342482,73.3744673499452,420.22988524421794
2024-01-11,251.82550247659006,56.17731768384004,439.09371965341876
2024-01-12,254.7574658954843,72.31488416164068,428.5184463922321
2024-01-13,253.4574584124609,53.605228348737334,424.8188939831431
2024-01-14,249.19777948028567,70.9511507105891,438.07674880046136
2024-01-15,251.10714651222702,58.35693642000093,423.8973128780984
2024-01-16,251.7114620935653,62.562158934983145,435.5896166625187
2024-01-17,247.75269927736448,65.48162732873342,441.6672984967057
2024-01-18,251.68775409539717,58.67772028708829,430.0466207939222
2024-01-19,254.61971744915132,62.28664494925222,439.33714113332763
2024-01-20,253.31970996612387,67.95316142970253,443.96527885975013
2024-01-21,249.06003103395932,62.06447784090799,432.1755966943628
2024-01-22,250.96939806589518,78.91184224462302,441.85482958389457
2024-01-23,251.5737136472274,81.34735675090707,440.2963683519055
2024-01-24,247.61495083103512,64.29321113399332,423.43571248993084
2024-01-25,251.550005577408,70.47151978079613,431.7196086856406
2024-01-26,254.48196885949963,61.255699968215914,457.9484437783492
2024-01-27,253.18196130480567,61.192746314426465,420.8159193329505
2024-01-28,248.92228230098087,66.80281765448169,437.6471655073506
2024-01-29,250.83164926125139,42.34035368208318,435.08520458933015
2024-01-30,251.43596477092723,57.64343321984123,415.78723379217905
2024-01-31,247.47720188307864,73.99172914381815,427.1939542991757
2024-02-01,251.41225662943583,56.01536710102729,436.1919689171039
2024-02-02,254.34421991154605,60.041266866274874,429.35770565283065
2024-02-03,253.04421235685004,59.49894136782421,422.7677267754472
2024-02-04,248.78453335302885,63.73523216678948,425.308463822272
2024-02-05,250.69390031330238,68.64299312012858,438.62337608032436
2024-02-06,251.29821584472967,55.00663192776672,436.5973884237775
2024-02-07,247.3394529786388,63.28779497790556,427.5002205098205
2024-02-08,251.27450774675944,73.4007283494497,437.89716404389736
2024-02-09,254.20647105062014,73.36061075340223,458.2980121357878
2024-02-10,252.90646351768603,69.2494424533945,439.0121679019979
2024-02-11,248.64678453562453,58.29826568650415,445.99288742063493
2024-02-12,250.55615151765068,73.25581614892509,424.7498186552905
2024-02-13,251.16046704908192,74.18231583412268,416.0541947919137
2024-02-14,247.20170418299327,55.13636226346114,439.6648219150534
2024-02-15,251.13675895111675,80.58761117091821,451.6515589895936
2024-02-16,254.06872225497278,86.69397488146949,444.013013110631
2024-02-17,252.76871472203453,66.63550548898536,433.41201986604085
2024-02-18,248.50903572433518,55.55661818437791,442.8156989595417
2024-02-19,250.41840269072338,52.06051448651409,430.93602197468306
2024-02-20,251.0227182065151,69.46330177726692,432.5298162380849
2024-02-21,247.06395532477478,63.31943596929112,438.8997866263644
2024-02-22,250.99901007725734,70.53198985424667,436.13078662127253
2024-02-23,253.93097336546995,77.0141677526283,436.7980013711298
2024-02-24,252.63096581688046,76.45275236821554,437.0011142006377
2024-02-25,248.37128681918875,69.03376358505705,435.1897486006914
2024-02-26,250.2806537855745,65.12431386728488,441.8893327814382
2024-02-27,250.88496930136012,67.1462766082058,435.1235243184843
2024-02-28,246.92620641962557,85.19446901488058,423.4931616445853
2024-02-29,250.86126115952655,65.85536531927092,418.21220596801237
2024-03-01,253.79322443514914,77.54073760039859,442.94825016076794
2024-03-02,252.49321687399046,56.914486632946776,445.08046808940685
2024-03-03,248.23353786369842,53.58351304572456,425.67155850795933
2024-03-04,250.142904817504,82.62169823448497,427.4232263892794
2024-03-05,250.74722032070184,68.03304605828396,437.4366892771878
2024-03-06,246.788457426374,72.2477581776845,423.0479383288865
2024-03-07,250.7235121662612,80.03537233464431,437.15831675028596
2024-03-08,253.65547544190323,71.49326353801104,426.9249609636566
2024-03-09,252.35546788074254,54.68386403668603,435.54941182546554
2024-03-10,248.09578887044654,73.99282061314086,437.95619997797456
2024-03-11,250.005155824226,75.95201249497829,433.1807354145198
2024-03-12,250.60947132738664,85.52987128489656,432.6027536807982
2024-03-13,246.65070843303437,53.90639071710789,431.14202876558625
2024-03-14,250.58576317289317,65.48109075417261,438.20075720787196
2024-03-15,253.5177264484994,62.50503538143443,428.0460653749204
2024-03-16,252.21771888729938,76.85066989703722,436.15487946891193
2024-03-17,247.95803987698696,70.68124045855681,430.3568728199867
2024-03-18,249.86740683075084,65.67539758378517,433.90893067875146
2024-03-19,250.4717223339201,54.53271364962934,436.4247102339264
2024-03-20,246.51295943957,63.811292040823616,433.6338799335117
2024-03-21,250.4480141794312,71.1051026895916,437.25317604455006
2024-03-22,253.3799774550352,61.1372168018866,448.23122016119754
2024-03-23,252.07996994184177,75.00526626672465,433.34329773737574
2024-03-24,247.8202909794934,79.40596788025957,441.26841885675293
2024-03-25,249.72965798125068,64.845963379264,425.36875437914716
2024-03-26,250.33397353240215,66.48015941989684,430.29024115564135
2024-03-27,246.37521068604443,83.97758148772306,428.8607952729563
2024-03-28,250.31026547389988,67.98775859922677,425.51540984430636
2024-03-29,253.24222879748353,67.32521734533736,431.2537217645878
2024-03-30,251.94222128428552,63.77916445586839,427.1166447689695
2024-03-31,247.68254232194136,60.320123263365915,437.8773227785313
2024-04-01,249.59190932370913,53.789837624360835,441.10282972165544
2024-04-02,250.1962248748689,70.92183809945378,431.7360735229236
2024-04-03,246.24419316836537,70.63870425775931,432.2404034420872
2024-04-04,250.18597909608127,70.13701667386206,430.89451560887767
2024-04-05,253.12467355952535,64.24731850282673,433.56061321444196
2024-04-06,251.831397186188,64.94462445247517,421.3415773234029
2024-04-07,247.5784493637078,62.60340711679666,430.20516822497007
2024-04-08,249.49454750533255,64.00200641171882,424.5093945143671
2024-04-09,250.105594196359,76.28556686042478,437.9310507520933
2024-04-10,246.15356248985208,55.57535578579268,425.8467269302706
2024-04-11,250.0953484175759,53.03212362331076,441.4441275165073
2024-04-12,253.03404288101777,63.26043300816177,429.95800237256003
2024-04-13,251.74076650767432,81.57131888308733,434.4226285094821
2024-04-14,247.4878186851965,66.64626072228772,443.8233118606324
2024-04-15,249.40391693585366,65.58689966030255,435.45658461070246
2024-04-16,250.01496373589717,63.179307961072574,437.1091416116217
2024-04-17,246.0629321384166,60.486748260957,423.58719855588026
2024-04-18,250.0047181751673,60.221635269516554,427.4996116025456
2024-04-19,252.94341274762502,76.23909108203821,443.95974694509596
2024-04-20,251.65013648330523,56.59103120740964,439.62455537352355
2024-04-21,247.39718876986217,78.24878285413192,433.39256916257386
2024-04-22,249.3132870205193,63.78329705372887,421.90617066875603
2024-04-23,249.9243338205513,68.84735793857358,428.97060807104555
2024-04-24,245.97230222307476,67.26632000376009,431.4874449082292
2024-04-25,249.91408825980855,69.44292309652793,433.50955231164073
2024-04-26,252.85278283228413,73.92928317662764,440.94387384861784
2024-04-27,251.55950665230193,69.96672785194215,441.75685520365994
2024-04-28,247.30655902320072,46.913072519961986,426.781552829115
2024-04-29,249.22265735818908,60.6138673371482,419.9813237363319
2024-04-30,249.8337042425875,63.65383607341634,429.12249338441706
2024-05-01,245.88167272944142,52.87995614183468,426.949006133136
2024-05-02,249.82345885052285,69.91275880503873,434.95788897343846
2024-05-03,252.7621535073391,56.462715212939386,441.44594101536023
2024-05-04,251.4688773273528,57.638499869586184,444.79464734205294
2024-05-05,247.21592969825298,70.43707125815176,438.70452800663674
2024-05-06,249.13202803324657,84.41252395620764,444.69661716713074
2024-05-07,249.74307491763346,62.556675108603386,429.3739989055102
2024-05-08,245.79104333580594,64.15714958375547,440.70297488335433
2024-05-09,249.7328293882071,67.17910737355963,429.99019662096
2024-05-10,252.67152397633373,79.53916976225244,455.7952704550524
2024-05-11,251.37824772767829,86.71558595802638,429.89498127656753
2024-05-12,247.12530002987805,43.016294111463054,426.2092525790059
2024-05-13,249.04139829618055,56.06343090619817,430.17404349055414
2024-05-14,249.6524451118906,68.31729463043472,431.5485550681582
2024-05-15,245.70041353006073,51.476289339234576,429.21240250069746
2024-05-16,249.64219958244303,53.489112927047074,431.0170171662608
2024-05-17,252.58089417058665,77.23146544985896,442.5492575285396
2024-05-18,251.28761792193114,65.53817213502404,436.0862988252961
2024-05-19,247.03467022619978,55.327246701176776,422.54668432635344
2024-05-20,248.95076849457502,59.60779360943042,419.5570085072893
2024-05-21,249.561815312341,56.16338337008277,426.3534805325878
2024-05-22,245.60978373258712,62.332797367175814,446.3554323302556
2024-05-23,249.55156978703747,66.58312834936557,430.6244820666408
2024-05-24,252.49026437724837,58.64926763111695,439.67146103270113
2024-05-25,251.1969881306482,76.57199898683055,427.74735702178026
2024-05-26,246.9440404349285,52.78613016499483,427.91004505463474
2024-05-27,248.8601387032912,78.81390990248939,436.17584543376006
2024-05-28,249.47118552106124,79.48930592249533,437.74205625098534
2024-05-29,245.5191539413141,57.70616083038869,427.2346712343313
