Stockout Anomalies Detected:
ProductID: 8730, StoreID: 45, Stock: 13, Forecasted Sales: 359
ProductID: 9461, StoreID: 1, Stock: 31, Forecasted Sales: 169
ProductID: 7658, StoreID: 20, Stock: 74, Forecasted Sales: 417
ProductID: 8694, StoreID: 29, Stock: 396, Forecasted Sales: 423
ProductID: 2227, StoreID: 26, Stock: 2, Forecasted Sales: 135
ProductID: 2684, StoreID: 65, Stock: 171, Forecasted Sales: 471
ProductID: 1971, StoreID: 38, Stock: 195, Forecasted Sales: 336
ProductID: 8050, StoreID: 74, Stock: 78, Forecasted Sales: 492
ProductID: 8520, StoreID: 63, Stock: 393, Forecasted Sales: 452
ProductID: 9291, StoreID: 86, Stock: 285, Forecasted Sales: 377
ProductID: 9048, StoreID: 29, Stock: 211, Forecasted Sales: 373
ProductID: 8342, StoreID: 83, Stock: 386, Forecasted Sales: 473
ProductID: 9222, StoreID: 4, Stock: 207, Forecasted Sales: 477
ProductID: 8238, StoreID: 56, Stock: 339, Forecasted Sales: 351
ProductID: 9633, StoreID: 80, Stock: 229, Forecasted Sales: 295
ProductID: 9556, StoreID: 17, Stock: 198, Forecasted Sales: 304
ProductID: 6435, StoreID: 73, Stock: 2, Forecasted Sales: 44
ProductID: 7960, StoreID: 7, Stock: 128, Forecasted Sales: 278
ProductID: 6565, StoreID: 49, Stock: 395, Forecasted Sales: 452
ProductID: 6410, StoreID: 27, Stock: 331, Forecasted Sales: 381
ProductID: 3613, StoreID: 33, Stock: 220, Forecasted Sales: 349
ProductID: 9252, StoreID: 12, Stock: 106, Forecasted Sales: 409
ProductID: 1099, StoreID: 24, Stock: 97, Forecasted Sales: 348
ProductID: 3137, StoreID: 26, Stock: 55, Forecasted Sales: 459
ProductID: 3925, StoreID: 52, Stock: 274, Forecasted Sales: 351
ProductID: 2518, StoreID: 54, Stock: 100, Forecasted Sales: 320
ProductID: 6820, StoreID: 47, Stock: 240, Forecasted Sales: 260
ProductID: 9072, StoreID: 49, Stock: 281, Forecasted Sales: 455
Excess Inventory Anomalies Detected:
ProductID: 9286, StoreID: 16, Stock: 700, Reorder Point: 132
ProductID: 2374, StoreID: 24, Stock: 151, Reorder Point: 19
ProductID: 7678, StoreID: 5, Stock: 714, Reorder Point: 21
ProductID: 7599, StoreID: 22, Stock: 960, Reorder Point: 185
ProductID: 7327, StoreID: 19, Stock: 111, Reorder Point: 25
ProductID: 1002, StoreID: 28, Stock: 569, Reorder Point: 141
ProductID: 8343, StoreID: 38, Stock: 462, Reorder Point: 193
ProductID: 5907, StoreID: 2, Stock: 410, Reorder Point: 88
ProductID: 2319, StoreID: 27, Stock: 301, Reorder Point: 92
ProductID: 4733, StoreID: 41, Stock: 611, Reorder Point: 190
ProductID: 4493, StoreID: 8, Stock: 732, Reorder Point: 179
ProductID: 6046, StoreID: 97, Stock: 317, Reorder Point: 156
ProductID: 9090, StoreID: 37, Stock: 964, Reorder Point: 90
ProductID: 3164, StoreID: 47, Stock: 620, Reorder Point: 136
ProductID: 6816, StoreID: 88, Stock: 947, Reorder Point: 63
ProductID: 3099, StoreID: 91, Stock: 462, Reorder Point: 195
ProductID: 5425, StoreID: 9, Stock: 253, Reorder Point: 59
ProductID: 7648, StoreID: 77, Stock: 482, Reorder Point: 152
ProductID: 6841, StoreID: 69, Stock: 789, Reorder Point: 105
ProductID: 1369, StoreID: 33, Stock: 217, Reorder Point: 32
ProductID: 5332, StoreID: 69, Stock: 441, Reorder Point: 11
ProductID: 5128, StoreID: 50, Stock: 484, Reorder Point: 183
ProductID: 9258, StoreID: 75, Stock: 446, Reorder Point: 65
ProductID: 8519, StoreID: 67, Stock: 725, Reorder Point: 126
ProductID: 2750, StoreID: 58, Stock: 846, Reorder Point: 170
ProductID: 3169, StoreID: 22, Stock: 797, Reorder Point: 73
ProductID: 1012, StoreID: 56, Stock: 870, Reorder Point: 98
ProductID: 8037, StoreID: 29, Stock: 531, Reorder Point: 53
ProductID: 9443, StoreID: 43, Stock: 934, Reorder Point: 102
ProductID: 6954, StoreID: 63, Stock: 738, Reorder Point: 188
ProductID: 6227, StoreID: 76, Stock: 639, Reorder Point: 192
ProductID: 6727, StoreID: 93, Stock: 570, Reorder Point: 73
ProductID: 2615, StoreID: 94, Stock: 538, Reorder Point: 25
ProductID: 4990, StoreID: 73, Stock: 515, Reorder Point: 154
ProductID: 2321, StoreID: 2, Stock: 302, Reorder Point: 97
ProductID: 9005, StoreID: 42, Stock: 669, Reorder Point: 82
ProductID: 5367, StoreID: 8, Stock: 383, Reorder Point: 149
ProductID: 1356, StoreID: 78, Stock: 643, Reorder Point: 141
ProductID: 7667, StoreID: 66, Stock: 515, Reorder Point: 143
ProductID: 5761, StoreID: 1, Stock: 621, Reorder Point: 39
ProductID: 7874, StoreID: 78, Stock: 499, Reorder Point: 104
ProductID: 1294, StoreID: 31, Stock: 949, Reorder Point: 198
ProductID: 7491, StoreID: 36, Stock: 942, Reorder Point: 39
ProductID: 4547, StoreID: 20, Stock: 559, Reorder Point: 144
ProductID: 1376, StoreID: 35, Stock: 694, Reorder Point: 193
ProductID: 9936, StoreID: 3, Stock: 614, Reorder Point: 14
ProductID: 6489, StoreID: 16, Stock: 908, Reorder Point: 124
ProductID: 8813, StoreID: 43, Stock: 639, Reorder Point: 76
ProductID: 1085, StoreID: 20, Stock: 536, Reorder Point: 160
ProductID: 7236, StoreID: 3, Stock: 369, Reorder Point: 135
ProductID: 8520, StoreID: 62, Stock: 843, Reorder Point: 75
ProductID: 8654, StoreID: 54, Stock: 844, Reorder Point: 175
ProductID: 2211, StoreID: 63, Stock: 709, Reorder Point: 15
ProductID: 1212, StoreID: 67, Stock: 454, Reorder Point: 87
ProductID: 4083, StoreID: 65, Stock: 896, Reorder Point: 166
ProductID: 6630, StoreID: 48, Stock: 663, Reorder Point: 176
ProductID: 2954, StoreID: 67, Stock: 941, Reorder Point: 80
ProductID: 6675, StoreID: 55, Stock: 432, Reorder Point: 84
ProductID: 5119, StoreID: 53, Stock: 171, Reorder Point: 18
ProductID: 6302, StoreID: 71, Stock: 563, Reorder Point: 125
ProductID: 2928, StoreID: 46, Stock: 660, Reorder Point: 22
ProductID: 9342, StoreID: 73, Stock: 781, Reorder Point: 47
ProductID: 2242, StoreID: 42, Stock: 408, Reorder Point: 23
ProductID: 4208, StoreID: 85, Stock: 279, Reorder Point: 106
ProductID: 1056, StoreID: 34, Stock: 507, Reorder Point: 146
